,,Total,A1 Are you...?,,A2 What is your age?,,,,,,A3 What is your ethnic group?,,,,,,,,,,,A6 Which region or nation do you live in?,,,,,,,,,,,,"Q2 More specifically, what is the highest level of educational qualifications you have achieved?",,,,,,,,Q4 Thinking about the property you live in. Does your household own or rent this accommodation?,,,,,,,Q8 What is your religion?,,,,,,,,Q13 Were either of your parents born outside the United Kingdom?,,,A5 Were you born in the UK?,,"Q48 Some people say the following things are important for being ""truly British'.   Which of the following do you think is most important? Please select up to three. |",,,,,,,,,,,,"Q51.1_2: Q51.1 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Black and minority ethnic people",,,"Q51.2_2: Q51.2 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | White people",,,"Q51.3_2: Q51.3 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Poor people",,,"Q51.4_2: Q51.4 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Old people",,,"Q51.5_2: Q51.5 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | Young people",,,"Q51.6_2: Q51.6 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | People on welfare benefits",,,"Q51.7_2: Q51.7 How much discrimination is there for or against the following groups? Please answer on a scale of 0 to 10, where 0 means 'none at all' and 10 means 'a significant amount'.  | LGBTQ+ people",,
,Defence,2%,2%,2%,2%,2%,1%,1%,4%,2%,2%,2%,2%,1%,1%,3%,0%,1%,3%,3%,1%,3%,3%,1%,5%,2%,2%,3%,2%,5%,1%,0%,3%,4%,3%,1%,1%,1%,2%,1%,2%,1%,1%,0%,3%,3%,1%,1%,1%,2%,1%,0%,2%,3%,3%,4%,1%,4%,4%,1%,2%,3%,2%,4%,2%,2%,4%,2%,1%,5%,3%,1%,0%,2%,2%,2%,1%,2%,5%,2%,2%,2%,2%,2%,3%,2%,2%,3%,2%,2%,2%,2%,2%,2%
,Poverty and inequality,14%,13%,15%,15%,15%,13%,14%,14%,10%,16%,7%,12%,17%,10%,12%,16%,18%,14%,11%,15%,12%,14%,16%,8%,15%,8%,12%,8%,14%,13%,22%,14%,13%,13%,18%,15%,15%,15%,13%,12%,15%,17%,23%,14%,10%,11%,16%,5%,13%,11%,49%,15%,15%,14%,11%,15%,11%,15%,13%,15%,12%,13%,9%,14%,15%,7%,14%,16%,5%,9%,17%,14%,10%,12%,17%,15%,13%,10%,11%,14%,16%,13%,15%,13%,13%,14%,14%,10%,15%,16%,12%,14%,16%
,Racism and discrimination,6%,6%,6%,8%,7%,6%,5%,6%,3%,7%,1%,6%,6%,1%,9%,9%,4%,4%,10%,8%,5%,3%,6%,7%,5%,4%,6%,10%,3%,8%,0%,9%,3%,6%,8%,6%,4%,6%,8%,6%,7%,6%,9%,5%,7%,8%,7%,4%,7%,7%,0%,6%,5%,7%,9%,6%,7%,0%,6%,6%,6%,6%,9%,7%,5%,8%,7%,5%,6%,8%,5%,8%,4%,6%,7%,6%,7%,6%,6%,6%,7%,7%,6%,6%,6%,7%,6%,6%,7%,6%,6%,6%,7%
,The environment and climate change,5%,4%,5%,4%,4%,5%,5%,5%,9%,5%,4%,6%,6%,2%,6%,5%,6%,3%,3%,2%,4%,5%,5%,8%,5%,1%,5%,8%,5%,4%,0%,6%,4%,4%,4%,4%,6%,5%,3%,6%,5%,4%,2%,5%,7%,4%,3%,5%,6%,6%,0%,4%,4%,3%,4%,5%,5%,2%,6%,4%,4%,6%,4%,4%,5%,6%,5%,5%,4%,6%,4%,4%,5%,5%,5%,5%,5%,4%,6%,4%,4%,5%,5%,5%,6%,4%,6%,7%,4%,5%,5%,5%,4%
,Economic growth,10%,11%,9%,11%,11%,10%,10%,8%,10%,9%,12%,10%,8%,26%,13%,10%,7%,13%,9%,7%,8%,12%,12%,13%,10%,9%,10%,8%,8%,10%,0%,8%,7%,9%,6%,12%,16%,9%,9%,12%,12%,8%,12%,11%,9%,10%,10%,12%,11%,10%,29%,10%,8%,7%,13%,11%,9%,2%,13%,8%,10%,11%,14%,9%,10%,8%,12%,11%,8%,10%,9%,10%,10%,12%,9%,10%,11%,9%,12%,11%,8%,11%,9%,11%,11%,10%,9%,12%,10%,9%,13%,10%,8%
,Crime,8%,9%,7%,10%,9%,8%,7%,5%,0%,8%,6%,8%,10%,14%,7%,4%,6%,8%,8%,4%,9%,9%,7%,11%,5%,12%,8%,7%,3%,8%,0%,11%,9%,7%,10%,6%,8%,5%,8%,8%,8%,7%,12%,7%,8%,10%,5%,17%,6%,9%,7%,9%,6%,6%,4%,8%,7%,5%,9%,7%,8%,8%,5%,6%,8%,8%,7%,7%,7%,9%,7%,11%,7%,8%,7%,8%,7%,8%,8%,8%,8%,8%,7%,8%,7%,8%,7%,8%,7%,7%,8%,8%,7%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q57 Which of the following do you think are the most important issues facing the country at this time? Please rank your top three. | Ranked 3rd,Unweighted base,3897,1698,2177,731,1000,932,672,437,125,274,143,730,671,62,679,296,546,223,192,81,245,251,1086,151,511,59,342,116,67,673,39,349,105,308,402,803,93,433,183,1570,949,568,36,977,1162,115,90,83,1390,331,11,1187,703,145,47,2545,1300,52,1031,2413,759,1348,413,820,1382,320,1341,1435,256,408,914,348,632,1359,1906,2378,1069,450,858,1722,1317,1384,1813,700,1457,1838,602,1001,1884,1012,1026,1704,1167
,Weighted base,3817,1810,1978,618,880,888,861,435,135,240,183,680,616,128,568,258,455,271,332,86,261,236,1043,123,496,65,329,105,63,688,49,352,142,362,445,836,101,385,208,1337,971,798,45,1177,658,115,53,62,1153,380,18,1397,556,166,85,2696,1057,63,1158,2187,728,1332,367,849,1387,264,1298,1463,194,354,896,347,625,1376,1815,2364,1064,389,858,1705,1254,1356,1812,649,1433,1832,552,967,1880,970,1037,1694,1086
,Education,5%,5%,5%,9%,5%,4%,4%,2%,2%,8%,2%,5%,5%,5%,5%,4%,3%,2%,7%,4%,2%,5%,5%,7%,5%,1%,5%,3%,0%,5%,0%,5%,1%,3%,4%,5%,5%,4%,5%,6%,4%,5%,3%,4%,6%,7%,3%,7%,3%,5%,7%,6%,4%,4%,1%,4%,6%,8%,2%,6%,6%,3%,6%,5%,4%,6%,5%,3%,6%,6%,5%,6%,5%,5%,4%,4%,5%,6%,5%,4%,5%,5%,3%,7%,5%,4%,7%,5%,4%,5%,7%,4%,4%
,Health and the NHS,13%,13%,14%,12%,14%,14%,14%,11%,12%,15%,19%,12%,14%,14%,13%,10%,12%,14%,13%,8%,12%,12%,11%,24%,12%,10%,18%,15%,21%,12%,3%,16%,12%,9%,12%,14%,7%,12%,16%,15%,14%,12%,23%,14%,10%,7%,19%,17%,12%,13%,6%,14%,12%,12%,17%,15%,10%,8%,15%,11%,11%,14%,11%,11%,15%,12%,13%,15%,11%,14%,13%,13%,9%,14%,14%,13%,14%,12%,11%,14%,13%,13%,14%,13%,13%,14%,11%,11%,13%,14%,12%,14%,13%
,Social care,5%,4%,5%,3%,4%,4%,6%,10%,2%,5%,3%,4%,3%,3%,4%,7%,7%,9%,4%,9%,6%,7%,5%,8%,3%,11%,3%,3%,5%,5%,8%,5%,5%,6%,4%,5%,3%,7%,3%,5%,5%,4%,2%,5%,6%,6%,4%,8%,6%,3%,18%,3%,7%,7%,4%,4%,7%,3%,4%,6%,4%,5%,10%,4%,5%,6%,4%,4%,8%,6%,5%,5%,5%,5%,5%,4%,5%,9%,5%,5%,5%,4%,6%,5%,5%,5%,4%,5%,5%,5%,5%,5%,5%
,Housing,10%,9%,11%,12%,13%,10%,7%,7%,4%,12%,5%,9%,12%,14%,10%,10%,9%,8%,9%,15%,7%,7%,10%,4%,13%,19%,7%,9%,13%,12%,2%,10%,16%,12%,14%,10%,14%,5%,6%,9%,13%,12%,2%,8%,6%,12%,9%,10%,10%,8%,0%,12%,8%,6%,8%,11%,8%,7%,11%,9%,10%,9%,7%,9%,9%,9%,11%,10%,9%,10%,10%,11%,11%,10%,10%,10%,9%,10%,10%,10%,10%,10%,10%,10%,10%,10%,9%,11%,9%,9%,10%,11%,8%
,Family life and childcare,4%,5%,4%,6%,5%,4%,3%,4%,4%,3%,3%,4%,5%,2%,5%,5%,2%,2%,7%,7%,3%,2%,4%,3%,5%,2%,3%,1%,3%,5%,0%,7%,2%,6%,3%,4%,2%,4%,7%,4%,3%,5%,4%,4%,5%,5%,6%,1%,5%,3%,6%,5%,3%,4%,4%,4%,5%,6%,4%,4%,5%,4%,6%,5%,3%,5%,4%,3%,6%,6%,4%,4%,6%,4%,4%,4%,4%,7%,6%,4%,4%,4%,4%,6%,4%,4%,7%,5%,4%,5%,5%,4%,3%
,Pensions,3%,3%,2%,2%,3%,2%,3%,4%,5%,1%,6%,2%,2%,2%,2%,3%,1%,4%,4%,3%,4%,3%,3%,2%,2%,5%,3%,4%,3%,2%,0%,2%,7%,2%,1%,3%,3%,4%,4%,2%,2%,2%,2%,2%,5%,1%,3%,6%,3%,3%,0%,1%,3%,4%,4%,2%,3%,10%,3%,3%,4%,2%,3%,3%,2%,2%,4%,2%,4%,4%,2%,2%,5%,3%,2%,3%,2%,3%,4%,2%,2%,3%,2%,3%,3%,2%,3%,4%,2%,2%,3%,2%,2%
,Immigration and asylum,8%,9%,7%,7%,5%,9%,9%,11%,11%,8%,9%,8%,9%,7%,9%,5%,10%,5%,7%,6%,10%,8%,8%,9%,7%,7%,12%,6%,6%,6%,27%,7%,5%,11%,9%,8%,6%,8%,11%,8%,8%,7%,3%,8%,10%,7%,6%,8%,9%,8%,0%,7%,9%,11%,2%,8%,8%,5%,10%,8%,9%,10%,12%,9%,8%,11%,7%,9%,9%,8%,7%,6%,10%,9%,7%,8%,8%,10%,10%,8%,7%,9%,7%,9%,10%,7%,8%,9%,8%,7%,8%,9%,7%
,Defence,2%,3%,1%,1%,2%,2%,2%,2%,2%,0%,5%,1%,2%,6%,3%,1%,2%,1%,2%,6%,1%,2%,3%,4%,2%,3%,2%,2%,1%,1%,0%,2%,5%,0%,3%,2%,1%,3%,2%,2%,2%,2%,3%,2%,3%,2%,1%,8%,2%,1%,0%,2%,2%,0%,0%,2%,4%,0%,2%,2%,1%,2%,3%,2%,2%,3%,1%,2%,5%,6%,2%,2%,4%,2%,2%,2%,2%,4%,4%,1%,2%,3%,1%,3%,3%,1%,3%,3%,1%,2%,3%,1%,2%
,Poverty and inequality,15%,14%,16%,13%,14%,16%,15%,15%,17%,11%,10%,15%,15%,16%,12%,21%,20%,17%,11%,10%,19%,13%,16%,6%,12%,8%,16%,17%,18%,15%,32%,13%,16%,18%,18%,15%,17%,15%,11%,13%,12%,19%,16%,15%,14%,14%,15%,8%,15%,13%,4%,15%,15%,10%,29%,15%,13%,22%,14%,16%,16%,14%,10%,17%,14%,13%,15%,14%,12%,10%,17%,16%,14%,14%,16%,16%,15%,11%,12%,15%,16%,15%,16%,12%,12%,17%,13%,14%,14%,17%,13%,14%,17%
,Racism and discrimination,9%,8%,9%,10%,8%,9%,8%,10%,6%,9%,9%,11%,7%,7%,9%,9%,9%,7%,7%,13%,7%,7%,8%,5%,10%,10%,8%,5%,4%,11%,13%,11%,12%,7%,9%,8%,6%,7%,13%,9%,6%,10%,7%,10%,8%,11%,9%,4%,9%,8%,8%,9%,8%,15%,11%,9%,9%,9%,6%,10%,10%,7%,7%,7%,8%,8%,9%,10%,12%,8%,9%,11%,6%,7%,11%,9%,8%,8%,7%,8%,10%,8%,9%,9%,9%,8%,10%,6%,10%,9%,8%,7%,12%
,The environment and climate change,10%,10%,11%,7%,8%,10%,13%,12%,19%,7%,12%,9%,9%,9%,8%,11%,15%,11%,12%,10%,11%,14%,11%,7%,11%,15%,8%,13%,15%,8%,16%,8%,12%,12%,11%,10%,18%,16%,7%,8%,11%,9%,22%,9%,12%,8%,15%,10%,10%,14%,34%,8%,17%,4%,3%,11%,9%,17%,12%,9%,7%,12%,8%,9%,11%,12%,10%,10%,5%,7%,12%,11%,10%,10%,10%,11%,10%,8%,10%,12%,8%,10%,11%,10%,10%,11%,9%,9%,11%,9%,8%,11%,11%
,Economic growth,9%,10%,9%,9%,10%,10%,9%,7%,8%,14%,8%,10%,9%,4%,12%,6%,4%,13%,9%,6%,10%,10%,9%,9%,11%,7%,9%,12%,7%,10%,0%,8%,3%,7%,6%,8%,12%,8%,8%,13%,11%,7%,3%,10%,9%,9%,6%,7%,10%,12%,0%,8%,5%,14%,18%,9%,10%,3%,10%,8%,8%,10%,8%,10%,10%,8%,11%,10%,5%,8%,9%,8%,10%,9%,9%,9%,10%,7%,9%,9%,10%,9%,10%,7%,11%,8%,9%,9%,10%,8%,10%,9%,8%
,Crime,7%,7%,8%,9%,10%,6%,7%,5%,7%,6%,9%,9%,8%,12%,7%,7%,6%,5%,9%,2%,7%,13%,8%,12%,7%,3%,5%,9%,3%,7%,0%,7%,5%,8%,7%,7%,7%,7%,8%,8%,8%,6%,11%,8%,6%,12%,5%,6%,6%,9%,17%,9%,7%,9%,0%,7%,8%,2%,7%,7%,9%,8%,8%,8%,8%,5%,7%,8%,7%,7%,7%,5%,7%,8%,7%,8%,8%,7%,7%,7%,8%,7%,7%,8%,6%,8%,7%,8%,7%,7%,7%,8%,7%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q58.1 Which party do you trust the most to handle the following issues? | Poverty and inequality,Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,The Labour Party,46%,45%,47%,53%,45%,45%,47%,42%,37%,59%,37%,43%,60%,40%,50%,45%,40%,28%,43%,48%,47%,43%,46%,38%,51%,42%,40%,39%,24%,51%,38%,51%,34%,39%,47%,49%,50%,46%,42%,48%,45%,50%,34%,48%,41%,54%,21%,40%,41%,41%,49%,55%,38%,54%,29%,49%,40%,29%,44%,47%,45%,49%,42%,48%,47%,42%,48%,49%,40%,39%,49%,40%,37%,43%,52%,49%,41%,42%,40%,47%,49%,45%,48%,44%,46%,47%,45%,40%,48%,49%,41%,47%,49%
,The Conservative Party,14%,15%,13%,13%,14%,15%,14%,14%,16%,7%,14%,19%,12%,8%,19%,12%,9%,13%,21%,9%,18%,18%,14%,18%,12%,7%,15%,14%,13%,13%,7%,14%,10%,12%,15%,10%,5%,16%,12%,19%,16%,8%,20%,14%,20%,10%,6%,24%,17%,25%,12%,11%,10%,16%,4%,13%,18%,4%,15%,13%,16%,16%,22%,15%,14%,27%,16%,14%,19%,22%,13%,4%,22%,15%,10%,12%,16%,22%,18%,14%,13%,15%,13%,17%,17%,11%,17%,19%,13%,12%,17%,14%,12%
,Liberal Democrats,10%,12%,9%,10%,10%,13%,9%,10%,7%,10%,15%,6%,5%,13%,15%,10%,9%,13%,14%,20%,6%,13%,13%,26%,7%,10%,10%,7%,18%,8%,7%,10%,9%,10%,8%,8%,7%,13%,11%,13%,9%,9%,8%,10%,17%,5%,7%,16%,15%,5%,0%,8%,11%,5%,12%,8%,17%,5%,11%,11%,12%,11%,18%,9%,11%,12%,11%,9%,17%,20%,10%,5%,14%,11%,9%,9%,12%,13%,13%,9%,10%,11%,9%,12%,11%,10%,12%,13%,9%,10%,13%,9%,10%
,Plaid Cymru,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,1%,0%,0%,0%,0%,0%,1%,0%,0%,5%,0%,1%,0%,1%,1%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,1%,1%,4%,0%,0%,0%,0%,0%,0%,0%,0%,1%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,The Scottish National Party (SNP),0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,5%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,None of the political parties,29%,27%,30%,24%,30%,27%,30%,33%,40%,24%,34%,32%,23%,39%,15%,33%,41%,45%,21%,23%,29%,25%,27%,18%,30%,36%,35%,40%,41%,28%,47%,25%,47%,38%,30%,33%,37%,24%,35%,21%,29%,33%,38%,28%,21%,30%,66%,16%,26%,28%,40%,26%,41%,24%,55%,30%,24%,61%,30%,29%,27%,23%,18%,29%,28%,18%,25%,27%,22%,18%,29%,51%,27%,30%,29%,30%,30%,22%,28%,30%,28%,29%,30%,27%,26%,32%,25%,28%,29%,29%,29%,29%,29%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q58.2 Which party do you trust the most to handle the following issues? | Economic growth,Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,The Labour Party,38%,37%,38%,41%,42%,38%,36%,30%,31%,48%,27%,34%,53%,26%,42%,35%,32%,27%,34%,38%,35%,37%,35%,42%,46%,26%,29%,23%,29%,42%,30%,46%,32%,37%,36%,39%,40%,35%,33%,40%,36%,43%,19%,40%,33%,43%,19%,36%,36%,28%,25%,47%,29%,37%,24%,40%,33%,19%,36%,38%,38%,39%,38%,39%,38%,34%,42%,38%,33%,37%,36%,33%,35%,35%,41%,41%,33%,34%,38%,37%,39%,39%,36%,38%,37%,38%,39%,38%,39%,35%,36%,38%,39%
,The Conservative Party,24%,26%,22%,24%,18%,24%,24%,32%,30%,19%,34%,31%,17%,33%,26%,21%,18%,19%,28%,19%,26%,27%,25%,27%,17%,25%,31%,21%,17%,23%,19%,22%,11%,18%,28%,22%,15%,27%,19%,27%,27%,15%,14%,24%,32%,20%,9%,28%,25%,39%,12%,20%,18%,31%,21%,24%,25%,13%,26%,22%,26%,29%,27%,25%,26%,32%,23%,26%,30%,25%,24%,9%,26%,27%,21%,22%,26%,30%,25%,25%,22%,23%,24%,25%,26%,22%,23%,26%,23%,23%,25%,25%,22%
,Liberal Democrats,9%,9%,8%,8%,10%,9%,8%,8%,7%,7%,10%,5%,7%,6%,14%,8%,6%,9%,10%,21%,8%,10%,10%,12%,7%,4%,8%,16%,7%,7%,9%,9%,8%,5%,6%,6%,9%,13%,9%,11%,7%,7%,9%,8%,15%,9%,6%,16%,12%,5%,13%,6%,9%,3%,10%,6%,16%,7%,7%,10%,10%,9%,17%,8%,8%,15%,8%,8%,19%,19%,10%,2%,13%,9%,7%,7%,10%,14%,10%,8%,9%,9%,8%,10%,9%,8%,11%,10%,7%,10%,10%,8%,8%
,Plaid Cymru,1%,1%,0%,1%,1%,1%,0%,0%,0%,1%,0%,0%,1%,0%,1%,0%,1%,1%,3%,1%,1%,0%,1%,0%,1%,4%,0%,0%,4%,0%,0%,0%,4%,1%,0%,1%,3%,1%,2%,0%,1%,1%,5%,0%,1%,1%,0%,1%,0%,3%,0%,1%,0%,0%,0%,1%,1%,0%,0%,0%,0%,1%,1%,0%,1%,1%,1%,1%,0%,1%,0%,0%,2%,0%,1%,1%,1%,1%,0%,1%,1%,0%,1%,1%,1%,0%,1%,1%,1%,1%,1%,1%,1%
,The Scottish National Party (SNP),0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,2%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,10%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,1%,0%,0%,1%,0%,0%,0%,0%,0%,0%,0%,0%,0%
,None of the political parties,29%,26%,32%,24%,28%,29%,32%,30%,33%,25%,29%,29%,22%,33%,16%,36%,43%,43%,26%,22%,29%,26%,29%,19%,29%,31%,32%,40%,44%,28%,42%,23%,44%,38%,30%,33%,33%,24%,37%,21%,28%,35%,54%,27%,20%,28%,66%,19%,26%,26%,51%,25%,44%,28%,45%,30%,24%,62%,30%,29%,25%,22%,18%,28%,27%,17%,26%,27%,17%,17%,30%,54%,25%,29%,30%,30%,30%,20%,26%,30%,30%,28%,31%,25%,27%,32%,25%,25%,30%,31%,29%,28%,30%
,NET,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q58.3 Which party do you trust the most to handle the following issues? | Health and the NHS,Unweighted base,3993,1736,2231,740,1016,966,694,447,130,276,148,744,677,64,683,298,563,261,197,82,253,256,1104,157,521,63,355,120,70,686,48,350,119,326,417,822,98,436,197,1578,967,580,37,994,1187,118,110,87,1417,339,11,1201,727,148,63,2595,1324,74,1062,2478,764,1363,416,832,1396,321,1355,1452,256,411,919,398,663,1390,1940,2439,1092,462,890,1769,1334,1425,1851,717,1494,1885,614,1031,1925,1037,1055,1747,1191
,Weighted base,3921,1856,2030,623,899,918,894,450,138,242,192,690,621,130,572,261,471,310,344,88,269,239,1065,131,506,69,344,108,65,701,60,353,154,382,462,855,109,387,225,1346,991,818,47,1200,676,116,72,67,1184,386,18,1415,577,169,105,2748,1090,84,1191,2258,733,1350,370,857,1400,264,1313,1480,194,357,903,400,660,1407,1853,2432,1090,399,897,1753,1271,1403,1849,669,1477,1879,565,998,1924,999,1069,1735,1116
,The Labour Party,46%,46%,46%,53%,45%,45%,47%,41%,44%,60%,39%,43%,59%,36%,49%,45%,40%,30%,45%,45%,43%,44%,47%,34%,54%,29%,41%,36%,30%,49%,42%,52%,33%,41%,43%,51%,42%,46%,42%,48%,45%,50%,40%,48%,43%,53%,21%,35%,43%,38%,49%,55%,38%,54%,26%,49%,41%,28%,44%,47%,46%,48%,46%,47%,48%,43%,49%,48%,44%,38%,50%,38%,36%,44%,52%,49%,42%,43%,40%,47%,50%,44%,49%,43%,44%,48%,47%,40%,49%,48%,41%,47%,49%
,The Conservative Party,16%,18%,15%,15%,15%,17%,16%,16%,16%,10%,17%,22%,13%,14%,21%,14%,10%,16%,20%,3%,19%,20%,17%,29%,10%,10%,19%,16%,14%,14%,4%,17%,12%,14%,15%,11%,12%,22%,14%,20%,18%,10%,18%,16%,22%,12%,10%,27%,17%,30%,12%,13%,11%,17%,20%,15%,20%,6%,17%,15%,18%,20%,22%,18%,16%,27%,17%,17%,21%,25%,14%,6%,23%,17%,13%,14%,17%,24%,19%,16%,14%,17%,15%,20%,19%,13%,20%,19%,16%,15%,20%,16%,13%
